date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:42	22907/22907	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Apr%202022%2013:45:21%20GMT	https://marketifythemes.net/html/grax/water.html	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/water.html	(from )
12:16:43	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
12:16:43	936/936	---M--	200	added ('OK')	image/png	etag:%223a8-6262b171-77ca61a767f59221;;;%22	https://marketifythemes.net/html/grax/img/favicon.png	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/favicon.png	(from https://marketifythemes.net/html/grax/water.html)
12:16:44	113722/113722	---MCZ	200	added ('OK')	text/css	etag:W/%221bc3a-6262b171-73fb9c57c1c78bea;br%22	https://marketifythemes.net/html/grax/css/plugins.css	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/css/plugins.css	(from https://marketifythemes.net/html/grax/water.html)
12:16:44	12292/12292	---MCZ	200	added ('OK')	text/css	etag:W/%223381-6262b171-6d0630a7de9c3573;gz%22	https://marketifythemes.net/html/grax/css/colors.css	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/css/colors.css	(from https://marketifythemes.net/html/grax/water.html)
12:16:44	2078/2078	---MCZ	200	added ('OK')	text/css	etag:W/%22a51-6262b171-3f00a40d6b45102f;gz%22	https://marketifythemes.net/html/grax/css/darkMode.css	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/css/darkMode.css	(from https://marketifythemes.net/html/grax/water.html)
12:16:45	53613/53613	---MCZ	200	added ('OK')	text/css	etag:W/%22d16d-6262b171-5c052127481b8c0b;br%22	https://marketifythemes.net/html/grax/css/style.css	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/css/style.css	(from https://marketifythemes.net/html/grax/water.html)
12:16:45	2494/2494	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229be-6262b177-f26a2aa519dc888e;br%22	https://marketifythemes.net/html/grax/img/svg/setting.svg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/svg/setting.svg	(from https://marketifythemes.net/html/grax/water.html)
12:16:45	2542/2542	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229ee-6262b177-e2f45c8567b2feda;br%22	https://marketifythemes.net/html/grax/img/svg/weather.svg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/svg/weather.svg	(from https://marketifythemes.net/html/grax/water.html)
12:16:46	574/574	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2223e-6262b177-170f5b55b20bb2bf;br%22	https://marketifythemes.net/html/grax/img/svg/islam.svg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/svg/islam.svg	(from https://marketifythemes.net/html/grax/water.html)
12:16:46	646/646	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22286-6262b176-f4e84b1d090aeb38;br%22	https://marketifythemes.net/html/grax/img/svg/arrow.svg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/svg/arrow.svg	(from https://marketifythemes.net/html/grax/water.html)
12:16:46	1615/1615	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264f-6262b176-56bae24a8a71023d;br%22	https://marketifythemes.net/html/grax/img/svg/cancel.svg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/svg/cancel.svg	(from https://marketifythemes.net/html/grax/water.html)
12:16:46	2165/2165	---M--	200	added ('OK')	image/png	etag:%22875-6262b173-ad69e4d2fd5ea855;;;%22	https://marketifythemes.net/html/grax/img/logo/dark.png	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/logo/dark.png	(from https://marketifythemes.net/html/grax/water.html)
12:16:47	2347/2347	---M--	200	added ('OK')	image/png	etag:%2292b-6262b173-70bf3496f1c79596;;;%22	https://marketifythemes.net/html/grax/img/logo/logo.png	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/logo/logo.png	(from https://marketifythemes.net/html/grax/water.html)
12:16:47	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-6262b175-c6c1719ea3ee0423;;;%22	https://marketifythemes.net/html/grax/img/placeholders/3-4.jpg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/placeholders/3-4.jpg	(from https://marketifythemes.net/html/grax/water.html)
12:16:47	916/916	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22394-6262b176-fee3de48751aafa3;br%22	https://marketifythemes.net/html/grax/img/svg/checked.svg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/svg/checked.svg	(from https://marketifythemes.net/html/grax/water.html)
12:16:48	48943/48943	---M--	200	added ('OK')	image/jpeg	etag:%22bf2f-6262b176-1dea1f30de7c0bf6;;;%22	https://marketifythemes.net/html/grax/img/resume/resume.jpg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/resume/resume.jpg	(from https://marketifythemes.net/html/grax/water.html)
12:16:48	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-6262b175-6e1c8951ae0c8a47;;;%22	https://marketifythemes.net/html/grax/img/placeholders/1-1.jpg	C:/My%20Web%20Sites/water-portfolio/marketifythemes.net/html/grax/img/placeholders/1-1.jpg	(from https://marketifythemes.net/html/grax/water.html)
